popularity,title,vote_average,vote_count,release_year,genero,director,Actor_principal,combined_features
0.0008077406881273343,Attack from Space,0.5,7.104795737122558e-05,0.5185185185185179,0,9172,5264,0 9172 5264
0.0025935302277080756,Sorority House Massacre II,0.5,0.000852575488454707,0.7499999999999989,3,4510,3156,3 4510 3156
0.020022451404994104,The Muppets Take Manhattan,0.65,0.007246891651865009,0.694444444444445,14,2948,4452,14 2948 4452
0.00334067031917791,End of the Road,0.6000000000000001,0.00014209591474245115,0.564814814814815,6,725,8948,6 725 8948
0.0050244033849685165,How to Be,0.5,0.0012788632326820603,0.9166666666666649,3,7058,8186,3 7058 8186
0.0015613869265164442,Ghost of Goodnight Lane,0.44000000000000006,0.0006394316163410302,0.9722222222222229,11,394,5519,11 394 5519
0.019749186439453035,Spider,0.6400000000000001,0.0125044404973357,0.8611111111111109,6,2059,7840,6 2059 7840
0.001273346382410401,Affluenza,0.44000000000000006,0.000497335701598579,0.9722222222222229,6,5309,980,6 5309 980
0.04380183742830107,Triple 9,0.5599999999999999,0.057690941385435165,0.990740740740741,0,4694,1481,0 4694 1481
0.003809194436543827,Cowboys vs. Dinosaurs,0.43,0.000994671403197158,0.981481481481482,15,732,9726,15 732 9726
0.002629737020250486,No Looking Back,0.58,0.0002841918294849023,0.824074074074075,6,2559,5601,6 2559 5601
0.030050020616501687,Carnage,0.7000000000000001,0.05399644760213144,0.9444444444444459,3,8205,5124,3 8205 5124
0.01186143628897588,7th Heaven,0.6900000000000001,0.0015630550621669626,0.16666666666666596,18,2927,4127,18 2927 4127
0.004202828216290117,Silver Lode,0.5,0.0007815275310834813,0.41666666666666696,0,405,4688,0 405 4688
0.008460175565537732,Passchendaele,0.63,0.001847246891651865,0.9166666666666649,6,7255,7515,6 7255 7515
0.04186299885142555,Kubo and the Two Strings,0.77,0.06976909413854351,0.990740740740741,2,9449,778,2 9449 778
0.0037228002798805108,Four Nights with Anna,0.52,0.000497335701598579,0.9166666666666649,4,4436,794,4 4436 794
